Name,Street,Suburb,City,Phone,Notes
Bunnings Takanini,167 Great South Rd,Takanini,Auckland,093471300,1 of 1
Bunnings Taupo,90 Spa Rd,,Taupo,073761116,1 of 1
Bunnings Tauriko Trade Centre,166 Taurikura Dr,Tauriko,Tauranga,079872600,1 of 1
Bunnings Timaru,233 Evans St,Kensington,Timaru,037464300,1 of 1
Bunnings Tokoroa,Ashworth St,,Tokoroa,078864569,1 of 1
Bunnings Waipapa,391 Waipapa Rd,,Waipapa,099555200,1 of 1
Bunnings Westgate,21 Fred Taylor Dr,Westgate,Auckland,099518400,1 of 1
Bunnings Whakatane,The Hub Cnr SH30 & Phoenix Dr,,Whakatane,073060430,1 of 1
Bunnings Whangamata,213 Aickin Rd,,Whangamata,078658744,1 of 1
Bunnings Whanganui,131 Ridgway St,,Whanganui,063450985,1 of 1
Bunnings Whangarei,Cnr Tauroa St & State Hwy 1,,Whangarei,094705400,1 of 1
Carters Albany,10 Tawa Dr,Albany,Auckland,094157171,1 of 1
Carters Blenheim,32 Burleigh Industrial Estate,,Blenheim,035775344,1 of 1
Carters Cambridge,41-45 Albert St,,Cambridge,078276460,1 of 1
Carters Dargaville,2 Normanby St,,Dargaville,094393099,1 of 1
Carters Drury,25 Ararimu Rd,Ramarama,Auckland,092948497,1 of 1
Carters Dunedin,9 Orari St,,Dunedin,034556139,1 of 1
Carters East Tamaki,95 Harris Rd,East Tamaki,Auckland,092745755,1 of 1
Carters Gisborne,342 Gladstone Rd,,Gisborne,068688099,1 of 1
Carters Glenfield,66 Diana Dr,Glenfield,Auckland,094412333,1 of 1
Carters Hamilton,1052 Te Rapa Straight,,Hamilton,078496042,1 of 1
Carters Hastings,404 Holt Pl,,Hastings,068786109,1 of 1
Carters Henderson,141 Central Park Dr,Henderson,Auckland,098378796,1 of 1
Carters Hornby,4-6 Hickory Pl,Hornby,Christchurch,033493971,1 of 1
Carters Invercargill,7-29 Forth St,,Invercargill,032144459,1 of 1
Carters Kaitaia,4 Dunn St,,Kaitaia,094086170,1 of 1
Carters Kapiti,14 Ihakara St,,Paraparaumu,042988129,1 of 1
Carters Kerikeri,4 Kahikatearoa St & SH10,,Waipapa,094076609,1 of 1
Carters Madras St,379 Madras St,Christchurch Central,Christchurch,033790520,1 of 1
Carters Mangawhai,41 Moir St,,Mangawhai,094231180,1 of 1
Carters Masterton,328 Ngaumutawa Rd,,Masterton,063709750,1 of 1
Carters Maungaturoto,186 Hurndall St,,Maungaturoto,094318575,1 of 1
Carters Napier,16 Austin St,,Napier,068435877,1 of 1
Carters National Office,68 Harris Rd,East Tamaki,Auckland,092727200,1 of 1
Carters Nelson,70 Nayland Rd,,Nelson,035477700,1 of 1
Carters New Plymouth,24 Egmont Rd,,New Plymouth,067595460,1 of 1
Carters Onehunga,101 Neilson St,Onehunga,Auckland,096340579,1 of 1
Carters Palmerston North,69 Railway Rd,,Palmerston North,063510810,1 of 1
Carters Panmure,130 Jellicoe Rd,Panmure,Auckland,095700650,1 of 1
Carters Papakura,12 Walters Rd,Papakura,Auckland,092999081,1 of 1
Carters Petone,22-30 Annie Huggan Gr,Lower Hutt,Wellington,045760600,1 of 1
Carters Porirua,75 Kenepuru Dr,Porirua,Wellington,042379069,1 of 1
Carters Pukekohe,60 Manukau Rd,Pukekohe,Auckland,092386836,1 of 1
Carters Queenstown,211 Glenda Dr,,Queenstown,034427620,1 of 1
Carters Rangiora,642 Lineside Rd,,Rangiora,033137104,1 of 1
Carters Rotorua,173 Sala St,,Rotorua,073473201,1 of 1
Carters St Lukes,14 Taylors Rd,Morningside,Auckland,098155726,1 of 1
Carters Taupo,205 Spa Rd,,Taupo,073782776,1 of 1
Carters Tauranga,Birch Ave,,Tauranga,075789099,1 of 1
Carters Thames,21 Ngati Maru Hwy,,Thames,078687047,1 of 1
Carters Waipukurau,5 Herbert St,,Waipukurau,068589050,1 of 1
Carters Wairoa,McDonald St,,Wairoa,068387339,1 of 1
Carters Warkworth,43 Auckland Rd SH1,Warkworth,Auckland,094257879,1 of 1
Carters Wellington Central,176 Hutt Rd,Kaiwharawhara,Wellington,044721521,1 of 1
Carters Wellington South,13 Jean Batten St,Rongotai,Wellington,043893030,1 of 1
Carters Westport,11 Robertson St,,Westport,037888206,1 of 1
Carters Whangamata,103 Lindsay Rd,,Whangamata,078658590,1 of 1
Carters Whanganui,95 Wilson St,,Whanganui,063481750,1 of 1
Carters Whangaparaoa,35 Karepiro Dr,Whangaparaoa,Auckland,094246300,1 of 1
Carters Whangarei,32 Commerce St,,Whangarei,094383659,1 of 1
Carters Whitianga,12 Moewai Rd,,Whitianga,078662489,1 of 1
Cooks Beach Timber and Hardware,43 Captain Cook Rd,,Cooks Beach,078664049,1 of 1
Devonport Timber and Hardware,27 Lake Rd,Devonport,Auckland,094450095,1 of 1
East Taratahi Building Supplies,22 William Wong Pl,,Carterton,063796811,1 of 1
Eastland Building & Farm Supplies,19-21 Mahia Ave,,Wairoa,0275216163,1 of 1
Eastown Timber & Fencing Buildlink,4 Holyoak St,,Whanganui,063490040,1 of 1
Henderson Timber,66 The Concourse,Henderson,Auckland,098388075,1 of 1
ITM  Support Office,38 Tarndale Gr,Rosedale,Auckland,0800480114,1 of 1
ITM Acorn ,102 Riverlea Rd,,Hamilton,078566789,1 of 1
ITM Albany ,66 Bush Rd,Albany,Auckland,094156889,1 of 1
ITM Ashburton ,5 Range St,,Ashburton,033070412,1 of 1
ITM Barrier ,9 Omanawa Ln,,Great Barrier Island,094290466,1 of 1
ITM Bashers ,82 Carters Rd,,Amberley,033148311,1 of 1
ITM Bay of Islands  Haruru Falls,2 Haruru Falls Rd,,Paihia,094027703,1 of 1
ITM Bay of Islands  Kerikeri,411 Waipapa Rd,,Waipapa,094078002,1 of 1
ITM Blenheim ,41 Houldsworth St,,Blenheim,035783049,1 of 1
ITM Cambridge ,1 Carters Cres,,Cambridge,078270953,1 of 1
ITM Central  Carterton,37-53 High St South,Carterton,Wairarapa,069297598,1 of 1
ITM Central  Feilding,1537 Waughs Rd,,Feilding,063233400,1 of 1
ITM Central  Marton,40 Racecourse Ave,,Marton,063275458,1 of 1
ITM Coromandel ,1170 Tiki Rd,,Coromandel,078668848,1 of 1
ITM Crighton  Greytown,201 Main St,,Greytown,063047193,1 of 1
ITM Crighton  Levin,15 Hokio Beach Rd,,Levin,063684057,1 of 1
ITM Crighton  Seaview,123 Hutt Park Rd,Lower Hutt,Wellington,045683896,1 of 1
ITM Darfield ,85 North Terrace,,Darfield,033187474,1 of 1
ITM Dargaville ,40 Normanby St,,Dargaville,094398730,1 of 1
ITM Dayle  Avondale,713 Rosebank Rd,Avondale,Auckland,098289791,1 of 1
ITM Dayle  East Tamaki,21 Greenmount Dr,East Tamaki,Auckland,092744942,1 of 1
ITM Dayle  Kopu,71 Kopu Rd,,Thames,078689829,1 of 1
ITM Dunedin ,13 Wharf St,Dunedin Central,Dunedin,032621008,1 of 1
ITM Dyers Rd ,291 Dyers Rd,Bromley,Christchurch,033736049,1 of 1
ITM Dysart  Glen Innes,88 Merton Rd,Glen Innes,Auckland,095213609,1 of 1
ITM E H Ball ,62 Clyde St,,Invercargill,032183787,1 of 1
ITM Far North  Kaitaia,23 North Park Dr,,Kaitaia,094083927,1 of 1
ITM Far North  Mangonui,22 Karamea Rd,,Mangonui,094060048,1 of 1
ITM Fraser Hardware ,4 James St,,Balclutha,034180170,1 of 1
ITM Geraldine ,168 Talbot St,,Geraldine,036939397,1 of 1
ITM Gore ,5 Wigan St,,Gore,032080649,1 of 1
ITM Greymouth ,62 Tasman St,,Greymouth,037680441,1 of 1
ITM Hamptons ,151 Ferry Rd,Waltham,Christchurch,033743333,1 of 1
ITM Havelock ,6 Ngati Kuia Dr,,Havelock,035741018,1 of 1
ITM Hillside  Glenfield,131 Diana Dr,Wairau Valley,Auckland,094438101,1 of 1
ITM Hillside  Hornby,254 Springs Rd,Hornby,Christchurch,033499739,1 of 1
ITM Hometown  Foxton,1 Bergin Rd,,Foxton,063638049,1 of 1
ITM Kaiapoi ,197 Ohoka Rd,,Kaiapoi,033278829,1 of 1
ITM Kaikoura ,218 Beach Rd,,Kaikoura,033195447,1 of 1
ITM KKBS ,12 Earl Dr,,Katikati,075490689,1 of 1
ITM MacClures  Henderson,256 Swanson Rd,Henderson,Auckland,098360088,1 of 1
ITM Mahia ,13 Marphona Cres,Takanini,Auckland,092670234,1 of 1
ITM Manawatu ,51 Joseph St,,Palmerston North,063569490,1 of 1
ITM Mangawhai ,188 Molesworth Dr,,Mangawhai,094314963,1 of 1
ITM Matakana ,58 Matakana Valley Rd,Warkworth,Auckland,094227525,1 of 1
ITM Matamata Post & Rails ,Mangawhero Rd,,Matamata,078888189,1 of 1
ITM McMullan ,18 Kaniere Rd,,Hokitika,037558519,1 of 1
ITM McVicar ,550 Johns Rd,Harewood,Christchurch,034213536,1 of 1
ITM Mosgiel ,1 McGlashan St,,Mosgiel,034898885,1 of 1
ITM Motueka ,16 King Edward St,,Motueka,035287254,1 of 1
ITM Mount ,24 Owens Pl,,Mt Maunganui,075753126,1 of 1
ITM Nelson ,36 Pascoe St,,Nelson,035485487,1 of 1
ITM New Plymouth ,20 Dawson St,,New Plymouth,067588939,1 of 1
ITM Omokoroa ,469A Omokoroa Rd,,Omokoroa,075525770,1 of 1
ITM Opotiki ,21 Church St,,Opotiki,073155984,1 of 1
ITM Otorohanga ,2 Limestone Dr,,Otorohanga,078734841,1 of 1
ITM Parapine ,19 Park St,Upper Hutt,Wellington,045276800,1 of 1
ITM Pauanui ,27 Sheppard Ave,,Pauanui Beach,078648579,1 of 1
ITM Picton ,5 York St,,Picton,035736888,1 of 1
ITM ProBuild ,2 Stoneleigh Dr,Rolleston,Christchurch,033243300,1 of 1
ITM Rangiora ,5A Cone St,,Rangiora,033134862,1 of 1
ITM Rotorua ,22-30 Clayton Rd,,Rotorua,073479423,1 of 1
ITM Southbuild ,Winton Hedgehope Hwy,,Winton,032366055,1 of 1
ITM Southern Lakes  Alexandra,46 Centennial Ave,,Alexandra,034278887,1 of 1
ITM Southern Lakes  Cromwell,64 McNulty Rd,,Cromwell,034450081,1 of 1
ITM Southern Lakes  Queenstown,83 Glenda Dr,,Queenstown,034511567,1 of 1
ITM Southern Lakes  Wanaka,34 Gordon Rd,,Wanaka,034432545,1 of 1
ITM Stratford ,75 Warwick Rd,,Stratford,067657800,1 of 1
ITM Takaka ,5 Buxton Ln,Tākaka,Takaka,035258222,1 of 1
ITM Taupo ,cnr Broadlands Rd & Miro Rd,,Taupo,073789899,1 of 1
ITM Tauranga ,32 Maleme St,,Tauranga,075411232,1 of 1
ITM Te Puke ,576 Jellicoe St,,Te Puke,0275061764,1 of 1
ITM Thomsons  Hamilton,18 Crawford St,,Hamilton,078493674,1 of 1
ITM Thomsons  Papakura,67-69 Hunua Rd,Papakura,Auckland,092949410,1 of 1
ITM Thomsons  Whatawhata,117 Mason Rd,,Hamilton,078298518,1 of 1
ITM Timaru ,33 Seadown Rd,,Timaru,036888074,1 of 1
ITM Timmos ,31 Riverhurst Dr,,Te Awamutu,078717545,1 of 1
ITM Toa ,17-19 Prosser St,Elsdon,Wellington,042325999,1 of 1
ITM Triangle ,4 Campbell St,,Tokoroa,078866611,1 of 1
ITM Tuakau ,25 Liverpool St,Tuakau,Auckland,092368226,1 of 1
ITM Turangi ,65 Atirau Rd,,Turangi,073865736,1 of 1
ITM Waimate ,4 Victoria Terrace,,Waimate,036897427,1 of 1
ITM Waipu ,40 Cove Rd,,Waipu,094320203,1 of 1
ITM Waitara ,2 Harris St,,Waitara,067548822,1 of 1
ITM Waiuku ,20 Constable Rd,Waiuku,Auckland,092357289,1 of 1
ITM Warkworth ,16 State Hwy 1,Warkworth,Auckland,094251021,1 of 1
ITM Weck's  Patumahoe,10 Patumahoe Rd,Patumahoe,Auckland,092363684,1 of 1
ITM Weck's Pukekohe ,1 Kitchener Rd,Pukekohe,Auckland,092383678,1 of 1
ITM Western  Kumeu,154 Main Rd,Kumeu,Auckland,094128148,1 of 1
ITM Western  Swanson,2 O'Neills Rd,Swanson,Auckland,098320209,1 of 1
ITM Western  Whenuapai,2 Airport Rd,Whenuapai,Auckland,094168164,1 of 1
ITM Whakatane Timber & Hardware ,35 Gateway Dr,,Whakatane,073070031,1 of 1
ITM Whangarei ,4 Kioreroa Rd,,Whangarei,094379420,1 of 1
Kiwi Timber Supplies Ltd,6216 SH1 Horotiu,,Hamilton,078473443,1 of 1
Lumberland,138 Napier Rd,,Palmerston North,063542244,1 of 1
Mackenzie Country Building Supplies,Benmore Pl,,Twizel,034350151,1 of 1
Matamata Timber & Hardware,Rewa St,,Matamata,078888145,1 of 1
Mitre 10 Central Otago,28 Centennial Ave,,Alexandra,034486884,1 of 1
Mitre 10 Crofton Downs,128 Churchill Dr,Crofton Downs,Wellington,044798765,1 of 1
Mitre 10 Cromwell,20 Elspeth St,,Cromwell,034459955,1 of 1
Mitre 10 Dannevirke,155-163 High St,,Dannevirke,063746045,1 of 1
Mitre 10 Darragh's,44 Kimbolton Rd,,Feilding,063234054,1 of 1
Mitre 10 Gisborne,24 Derby St,,Gisborne,068670004,1 of 1
Mitre 10 Gore,15 Irwell St,,Gore,032084780,1 of 1
Mitre 10 Griffen & Smith,34 Gibson St,,Hokitika,037558254,1 of 1
Mitre 10 Grove,1 Princes St,Onehunga,Auckland,096367169,1 of 1
Mitre 10 Helensville,41 Mill Rd,Helensville,Auckland,094208153,1 of 1
Mitre 10 Jacks,119 Gordon Rd,,Mosgiel,034890000,1 of 1
Mitre 10 Jones & Sandford,305-307 St Aubyn St,,New Plymouth,067580520,1 of 1
Mitre 10 K J,67 Main St,,Pahiatua,063767978,1 of 1
Mitre 10 Kerikeri,37 Klinac Ln,Waipapa,Waipapa,094075540,1 of 1
Mitre 10 Kiwitown,7 Ballance St,,Otorohanga,078737465,1 of 1
Mitre 10 Levin,521 Queen St,,Levin,063682268,1 of 1
Mitre 10 Martin,47-55 Palmerston St,,Westport,037897879,1 of 1
Mitre 10 Masters,Cnr Fenton & Juliet Sts,,Stratford,067656048,1 of 1
Mitre 10 Matamata,7 Waharoa Rd East,,Matamata,078886362,1 of 1
Mitre 10 McCarthny,1 North Park Dr,,Kaitaia,094081660,1 of 1
Mitre 10 McIlwaine,35 Russell St,,Marton,063277079,1 of 1
Mitre 10 Mega Albany,260 Oteha Valley Rd,Albany,Auckland,094426130,1 of 1
Mitre 10 Mega Ashburton,81 West St,,Ashburton,033085119,1 of 1
Mitre 10 Mega Botany,9 Bishop Dunn Pl Botany,Botany,Auckland,092728777,1 of 1
Mitre 10 Mega Cambridge,1 Oliver St,,Cambridge,078230553,1 of 1
Mitre 10 Mega Dunedin,20 Timaru St,,Dunedin,034553344,1 of 1
Mitre 10 Mega Ferrymead,1005 Ferry Rd,Ferrymead,Christchurch,033666306,1 of 1
Mitre 10 Mega Glenfield,15 Poland Rd,Wairau Park,Auckland,094405100,1 of 1
Mitre 10 Mega Greymouth,41 Waterwalk Rd,,Greymouth,037699036,1 of 1
Mitre 10 Mega Hastings,614 Karamu Rd,,Hastings,068738700,1 of 1
Mitre 10 Mega Henderson,186 Lincoln Rd,Henderson,Auckland,094162400,1 of 1
Mitre 10 Mega Hornby,16 Chappie Pl,Hornby,Christchurch,033498497,1 of 1
Mitre 10 Mega Invercargill,Cnr Tay St & Elles Rd,,Invercargill,032199000,1 of 1
Mitre 10 Mega Kapiti,135 Kapiti Rd,,Paraparaumu,042966440,1 of 1
Mitre 10 Mega Manukau,61 Lambie Dr,Manukau,Auckland,092623860,1 of 1
Mitre 10 Mega Marlborough,174 - 186 Alabama Rd,,Blenheim,035206600,1 of 1
Mitre 10 Mega Masterton,157 - 169 Ngaumutawa Rd,,Masterton,063706888,1 of 1
Mitre 10 Mega Mt Wellington,72 Lunn Ave,Mt Wellington,Auckland,095740099,1 of 1
Mitre 10 Mega Napier,180 Prebensen Dr,,Napier,068338190,1 of 1
Mitre 10 Mega Nelson,99 Quarantine Rd,,Nelson,035470747,1 of 1
Mitre 10 Mega New Lynn,5 Astley Ave,New Lynn,Auckland,098261420,1 of 1
Mitre 10 Mega New Plymouth,5 Vickers Rd,,New Plymouth,067594399,1 of 1
Mitre 10 Mega Oamaru,3 - 11 Dee St,,Oamaru,034349860,1 of 1
Mitre 10 Mega Palmerston North,250 - 270 Featherston St,,Palmerston North,063544087,1 of 1
Mitre 10 Mega Papanui,54 Harewood Rd,Papanui,Christchurch,033595443,1 of 1
Mitre 10 Mega Petone,25 Bouverie St,Petone,Wellington,045698311,1 of 1
Mitre 10 Mega Porirua,The Mega Centre 3 Semple St,Porirua,Wellington,042389507,1 of 1
Mitre 10 Mega Pukekohe,12 Wrightson Way,Pukekohe,Auckland,092385559,1 of 1
Mitre 10 Mega Queenstown,46 Brookes Rd,,Queenstown,034509262,1 of 1
Mitre 10 Mega Rangiora,1 Southbrook Rd,,Rangiora,033138999,1 of 1
Mitre 10 Mega Rotorua,1542 Amohau St,,Rotorua,073436060,1 of 1
Mitre 10 Mega Ruakura,41 Ruakura Rd,,Hamilton,078508700,1 of 1
Mitre 10 Mega Silverdale,35 Colin Chester Dr,Silverdale,Auckland,094260760,1 of 1
Mitre 10 Mega Takanini,230 Great South Rd,Takanini,Auckland,092996342,1 of 1
Mitre 10 Mega Taupo,99 Bella George Ln,,Taupo,073786540,1 of 1
Mitre 10 Mega Tauranga,1066 Cameron Rd,,Tauranga,075714700,1 of 1
Mitre 10 Mega Te Awamutu,670 Cambridge Rd,,Te Awamutu,078726210,1 of 1
Mitre 10 Mega Te Rapa,1 Maahaunga Dr,,Hamilton,078508700,1 of 1
Mitre 10 Mega Timaru,23 Bank St,,Timaru,036872033,1 of 1
Mitre 10 Mega Upper Hutt,9 Park St,Upper Hutt,Wellington,045272227,1 of 1
Mitre 10 Mega Wanaka,10 Sir Tim Wallis Dr,,Wanaka,034439581,1 of 1
Mitre 10 Mega Warkworth,Cnr Woodcocks Rd & Mansell Dr,Warkworth,Auckland,094258119,1 of 1
Mitre 10 Mega Westgate,Northside Dr,Westgate,Auckland,094162400,1 of 1
Mitre 10 Mega Whanganui,200 Taupo Quay,,Whanganui,063490244,1 of 1
Mitre 10 Mega Whangarei,46 Porowini Ave,,Whangarei,094304009,1 of 1
Mitre 10 Morrinsville,43 Moorhouse St,,Morrinsville,078891111,1 of 1
Mitre 10 Motueka,235 High St,,Motueka,035289220,1 of 1
Mitre 10 Ngatea Hammer Hardware,16 Orchard Rd,,Ngatea,078677393,1 of 1
Mitre 10 Opotiki,83 St John St,,Opotiki,073156366,1 of 1
Mitre 10 Pain & Kershaw,37 - 39 Naples St,,Martinborough,063065103,1 of 1
Mitre 10 Papamoa,14 Gravatt Rd,Papamoa,Tauranga,075753847,1 of 1
Mitre 10 Smiths Beckenham,260 Colombo St,Sydenham,Christchurch,033327557,1 of 1
Mitre 10 Support Centre,67 Corinthian Dr,Albany,Auckland,094439932,1 of 1
Mitre 10 Taumarunui,18 Taitua St,,Taumaranui,078958107,1 of 1
Mitre 10 Te Anau,1 Milford Cres,,Te Anau,032497661,1 of 1
Mitre 10 Thames,458 Pollen St,,Thames,078687155,1 of 1
Mitre 10 Waihi,1 Seddon St,,Waihi,078638087,1 of 1
Mitre 10 Waipukurau,3-7 Takapau Rd,,Waipukurau,068588460,1 of 1
Mitre 10 Waiuku,25 Bowen St,Waiuku,Auckland,092359072,1 of 1
Mitre 10 Whakatane,13 - 15 McAlister St,,Whakatane,073088115,1 of 1
Mitre 10 Whangaparaoa,25 Wade River Rd,Stanmore Bay,Auckland,094282477,1 of 1
Mitre 10 Winton,91 Great North Rd,,Winton,032367614,1 of 1
Penrose Panel & Roofing Ltd,956A Great South Rd,Penrose,Auckland,0800777699,1 of 1
Peppers Building Supplies,69 Main St,,Edgecumbe,073046312,1 of 1
PlaceMakers Albany,24 Oteha Valley Rd,Albany,Auckland,094140900,1 of 1
PlaceMakers Alexandra,5 Maclean Rd,,Alexandra,034402335,1 of 1
PlaceMakers Ashburton,115 Alford Forest Rd,,Ashburton,033089099,1 of 1
PlaceMakers Blenheim,Cnr Gr Rd & Farmar St,,Blenheim,035206030,1 of 1
PlaceMakers Cook St,106 Cook St West,CBD,Auckland,093562899,1 of 1
PlaceMakers Cook St Penrose Depot,509 Mt Wellington Hwy,Mt Wellington,Auckland,092370020,1 of 1
PlaceMakers Cranford St,319 Cranford St,,Christchurch,033754119,1 of 1
PlaceMakers Cromwell,7 Murray Tce,,Cromwell,034450401,1 of 1
PlaceMakers Dunedin,86 Portsmouth Rd,,Dunedin,034664617,1 of 1
PlaceMakers Evans Bay,38 Tacy St,Kilbirnie,Wellington,043878692,1 of 1
PlaceMakers Gore,Fairfield St,,Gore,032089040,1 of 1
PlaceMakers Hamilton City Clarence St,84 - 88 Clarence St,,Hamilton,078466700,1 of 1
PlaceMakers Hastings,409 Hastings St North,,Hastings,068422925,1 of 1
PlaceMakers Hawera,2 Fitzgerald Ln,,Hawera,062786013,1 of 1
PlaceMakers Hawkes Bay Napier,53 Corunna Bay,,Napier,068435816,1 of 1
PlaceMakers Huntly,498 Great South Rd,,Huntly,078282000,1 of 1
PlaceMakers Hutt City,43 Seaview Rd,Lower Hutt,Wellington,045685042,1 of 1
PlaceMakers Invercargill,85 Liddel St,,Invercargill,032110366,1 of 1
PlaceMakers Kaiapoi,17 Hakarau Rd,,Kaiapoi,033275860,1 of 1
PlaceMakers Kaitaia,Matthews Ave,,Kaitaia,094080630,1 of 1
PlaceMakers Kaiwharawhara,188 Hutt Rd,Kaiwharawhara,Wellington,044721616,1 of 1
PlaceMakers Kerikeri,26 Mill Ln,,Kerikeri,094074820,1 of 1
PlaceMakers Levin,17-23 Main Rd South,,Levin,063660960,1 of 1
PlaceMakers Mangawhai,4 Moir Point Rd,,Mangawhai,094314236,1 of 1
PlaceMakers Morrinsville,Canada St,,Morrinsville,078895057,1 of 1
PlaceMakers Mosgiel Depot,34 Carncross St,,Mosgiel,034664617,1 of 1
PlaceMakers Motueka,84 High St,,Motueka,035288164,1 of 1
PlaceMakers Mt Maunganui,25 MacDonald St,,Mt Maunganui,075740822,1 of 1
PlaceMakers Mt Wellington,102 Lunn Ave,Mt Wellington,Auckland,095708300,1 of 1
PlaceMakers National Office,816 Great South Rd,Penrose,Auckland,095256177,1 of 1
PlaceMakers Nelson - Saxton Rd,52 Saxton Rd,,Nelson,035479111,1 of 1
PlaceMakers Nelson - St Vincent St,105 St Vincent St,,Nelson,035489069,1 of 1
PlaceMakers New Lynn,17-19 Clark St,New Lynn,Auckland,095474200,1 of 1
PlaceMakers New Plymouth,9 / 15 Egmont Rd,,New Plymouth,067559040,1 of 1
PlaceMakers Oamaru,Humber St,,Oamaru,034330460,1 of 1
PlaceMakers Ohakune (Depot),7 Burns St,,Ohakune,063858414,1 of 1
PlaceMakers Pakuranga,481 Pakuranga Hwy,Pakuranga,Auckland,095380200,1 of 1
PlaceMakers Palmerston North,Cnr Railway Rd and Francis Way,,Palmerston North,063535777,1 of 1
PlaceMakers Paraparaumu,Kapiti Rd,,Paraparaumu,042981086,1 of 1
PlaceMakers Porirua,Cnr Semple St & Titahi Bay Rd,Porirua,Wellington,042379189,1 of 1
PlaceMakers Pukekohe,3 Comrie Pl,Pukekohe,Auckland,092370020,1 of 1
PlaceMakers Queenstown,1 Glenda Dr Frankton,,Queenstown,034509000,1 of 1
PlaceMakers Riccarton,2-20 Mandeville St,Riccarton,Christchurch,033482039,1 of 1
PlaceMakers Rolleston,35 Hoskyns Rd,Rolleston,Christchurch,033438600,1 of 1
PlaceMakers Rotorua,159 Lake Rd,,Rotorua,073477023,1 of 1
